Team,Year,Gold,Silver,Bronze
South Korea,2008,2,0,4
South Korea,2006,5,1,1
South Korea,1976,0,0,2
South Korea,2012,1,3,2
South Korea,1984,1,3,1
South Korea,2004,0,1,1
South Korea,1992,4,1,0
South Korea,1998,1,1,0
South Korea,1996,1,2,0
South Korea,1994,1,1,0
South Korea,2016,3,1,0
South Korea,2002,2,1,0
Soviet Union,1972,30,9,12
Soviet Union,1980,48,40,32
Soviet Union,1968,11,10,10
Soviet Union,1956,19,10,11
Soviet Union,1964,18,11,15
Soviet Union,1960,8,9,16
Soviet Union,1976,31,25,26
Soviet Union,1952,11,14,6
Soviet Union,1988,36,16,17
Soviet Union,1984,4,6,4
Spain,2008,2,17,6
Spain,1984,1,5,1
Spain,2016,4,4,7
Spain,2012,2,12,15
Spain,1960,0,0,9
Spain,1932,0,0,1
Spain,2000,2,7,4
Spain,2004,3,6,4
Spain,1996,6,11,5
Spain,1992,13,3,1
Spain,1980,1,10,0
Spain,1928,1,0,0
Spain,1900,1,0,0
Spain,1988,1,1,0
Spain,1972,1,0,0
Spain,1920,0,10,0
Spain,1976,0,1,0
St. Louis Amateur Athletic Association,1904,0,1,0
St. Louis Southwest Turnverein #1-2,1904,0,1,0
St. Rose-2,1904,0,0,6
Stella-2,1920,0,0,2
Sweden,1912,25,16,10
Sweden,1920,9,7,19
Sweden,1936,2,6,7
Sweden,1908,5,4,4
Sweden,1980,2,2,6
Sweden,2002,0,0,9
Sweden,1984,2,3,10
Sweden,1952,4,7,11
Sweden,1948,8,4,7
Sweden,1924,0,7,11
Sweden,2000,1,4,2
Sweden,1992,0,6,2
Sweden,1996,1,3,2
Sweden,1988,0,2,12
Sweden,1928,1,4,6
Sweden,1960,1,1,2
Sweden,1968,1,1,2
Sweden,1972,0,1,4
Sweden,1932,0,3,5
Sweden,1956,2,5,4
Sweden,1906,0,0,2
Sweden,2014,0,9,1
Sweden,2008,0,2,1
Sweden,2012,0,7,1
Sweden,1900,0,0,1
Sweden,1976,2,0,0
Sweden,2006,5,6,0
Sweden,1994,6,0,0
Sweden,1964,1,2,0
Sweden,2010,1,0,0
Sweden,2004,0,4,0
Sweden,2016,0,8,0
Swedish Star,1932,0,0,1
Swift,1948,1,0,0
Switzerland,1988,2,2,1
Switzerland,1920,1,1,7
Switzerland,1924,4,6,3
Switzerland,2002,2,3,3
Switzerland,2014,2,1,5
Switzerland,1928,1,3,5
Switzerland,2008,2,1,1
Switzerland,1936,5,11,4
Switzerland,1948,1,3,9
Switzerland,1952,1,6,6
Switzerland,1968,0,2,6
Switzerland,1998,1,1,1
Switzerland,1960,0,2,1
Switzerland,1956,5,2,3
Switzerland,1994,1,2,1
Switzerland,1984,1,2,2
Switzerland,2016,1,1,1
Switzerland,2010,4,0,1
Switzerland,1976,0,2,2
Switzerland,1900,1,0,0
Switzerland,1964,1,2,0
Switzerland,1980,2,2,0
Switzerland,2004,1,0,0
Switzerland,2000,0,2,0
Switzerland,1972,1,5,0
Switzerland,1996,0,2,0
Switzerland,2006,0,1,2
Switzerland,2012,0,1,0
Switzerland,1992,1,0,1
Switzerland,1932,0,1,0
Symphony,1948,0,2,0
Syria,2004,0,0,1
Syria,1984,0,1,0
Taifun,1912,3,0,0
Tajikistan,2008,0,1,1
Tajikistan,2012,0,0,1
Tango,1960,0,2,0
Tanzania,1980,0,1,0
Thailand,2004,1,0,1
Thailand,1992,0,0,1
Thailand,2008,0,1,0
Thames Rowing Club,1912,0,2,0
Thessalonki-1,1906,0,0,1
Tip,1956,0,2,0
Togo,2008,0,0,1
Tornado,1952,0,2,0
Toronto Argonauts,1908,0,0,1
Toronto Argonauts,1904,0,2,0
Trans-Mississippi Golf Association-2,1904,0,1,0
Trinidad and Tobago,2012,0,3,1
Trinidad and Tobago,1964,0,0,1
Trinidad and Tobago,1996,0,0,2
Trinidad and Tobago,2000,0,1,1
Trinidad and Tobago,2004,0,0,1
Trinidad and Tobago,2008,4,0,0
Trinidad and Tobago,1976,1,0,0
Tritons Lillois-2,1900,0,2,0
Tunisia,2016,0,0,2
Turkey,1956,2,1,2
Turkey,2004,0,1,3
Turkey,1952,0,0,1
Turkey,2008,0,1,1
Turkey,1984,0,0,2
Turkey,2000,0,0,2
Turkey,2016,1,0,2
Turkey,1948,4,2,0
Turkey,1968,2,0,0
Turkey,1960,4,0,0
Turkey,1964,1,2,0
Turkey,2012,1,1,0
Turkey,1996,1,1,0
Turkey,1936,1,0,0
Turkey,1972,0,1,0
Turkey,1992,0,1,0
Tutti V,1928,0,0,2
Uganda,1972,1,0,0
Ukraine,2008,2,1,5
Ukraine,1996,1,0,2
Ukraine,2004,0,0,7
Ukraine,2000,0,6,3
Ukraine,2016,1,1,1
Ukraine,2012,3,2,1
Ukraine,1994,1,0,0
Ukraine,2014,1,0,0
Unified Team,1992,25,12,15
Union des Socits Franais de Sports Athletiques,1900,4,4,0
United Arab Emirates,2004,1,0,0
United Arab Emirates,1960,0,1,1
United States,1904,19,23,21
United States,2014,5,10,8
United States,1912,12,5,5
United States,2016,49,14,22
United States,1952,17,16,4
United States,1932,23,20,22
United States,1996,39,13,16
United States,1964,36,9,12
United States,1920,25,12,7
United States,2008,27,26,22
United States,1984,64,32,11
United States,1988,31,27,11
United States,2004,24,20,19
United States,1972,22,23,12
United States,1960,31,7,12
United States,1924,25,11,15
United States,1992,28,18,27
United States,2010,2,15,8
United States,1948,29,12,16
United States,1956,26,15,10
United States,1968,16,6,9
United States,1936,9,7,3
United States,1928,17,12,10
United States,2000,34,13,10
United States,2012,40,14,12
United States,1976,19,12,11
United States,1900,6,6,1
United States,2006,2,6,8
United States,2002,3,14,2
United States,1908,13,7,3
United States,1994,2,2,1
United States,1896,6,2,1
United States,1906,4,0,1
United States,1998,9,0,1
United States,1980,6,0,0
United States/France,1900,0,2,0
United States/Great Britain,1900,0,0,1
Univ. of Brussels,1900,0,0,1
Upton Park FC,1900,3,0,0
Uruguay,1952,0,0,6
Uruguay,1956,0,0,5
Uruguay,1932,0,0,1
Uruguay,1924,3,0,0
Uruguay,1928,10,0,0
USFSA,1900,0,5,0
Uzbekistan,2016,1,0,1
Uzbekistan,2012,0,0,1
Uzbekistan,2000,1,0,0
Uzbekistan,1994,1,0,0
Uzbekistan,2004,1,0,0
Uzbekistan,1996,0,1,0
Venezuela,1984,0,0,2
Venezuela,2004,0,0,1
Venezuela,2008,0,0,1
Venezuela,1952,0,0,1
Venezuela,2016,0,0,1
Venilia,1960,0,0,3
Vesper Boat Club,1900,4,0,0
Vesper Boat Club,1904,5,0,0
Vision,1956,0,2,0
Wannsee,1936,1,0,0
Web II,1960,0,2,0
West Germany,1984,7,15,10
West Germany,1980,0,1,3
West Germany,1976,8,8,9
West Germany,1972,9,4,8
West Germany,1968,2,2,4
West Germany,1988,10,14,5
Western Golf Association-1,1904,4,0,0
Western Rowing Club-3,1904,0,0,2
White Lady,1964,1,0,0
Widgeon,1964,0,0,1
Willem-Six,1924,0,0,1
Winnipeg Shamrocks-1,1904,7,0,0
Yugoslavia,1928,0,0,4
Yugoslavia,1984,14,0,7
Yugoslavia,1988,4,8,3
Yugoslavia,1980,3,5,6
Yugoslavia,1964,1,1,1
Yugoslavia,1960,2,0,0
Yugoslavia,1972,2,1,0
Yugoslavia,1968,4,5,0
Yugoslavia,1952,1,7,0
Yugoslavia,1956,0,3,0
Yugoslavia,1948,0,6,0
Yugoslavia,1976,0,3,0
Zimbabwe,2004,1,1,1
Zimbabwe,1980,5,0,0
Zimbabwe,2008,1,3,0
